timestamp                       , question                               , outcome, implied_probability
2026-07-22T16:00:09.252647+00:00,New Rihanna Album before GTA VI?,Yes,0.505
2026-07-22T16:00:09.252647+00:00,New Rihanna Album before GTA VI?,No,0.495
2026-07-22T16:00:09.252647+00:00,New Playboi Carti Album before GTA VI?,Yes,0.505
2026-07-22T16:00:09.252647+00:00,New Playboi Carti Album before GTA VI?,No,0.495
2026-07-22T16:00:09.252647+00:00,Will Jesus Christ return before GTA VI?,Yes,0.495
2026-07-22T16:00:09.252647+00:00,Will Jesus Christ return before GTA VI?,No,0.505
2026-07-22T16:02:50.660673+00:00,New Rihanna Album before GTA VI?,Yes,0.505
2026-07-22T16:02:50.660673+00:00,New Rihanna Album before GTA VI?,No,0.495
2026-07-22T16:02:50.660673+00:00,New Playboi Carti Album before GTA VI?,Yes,0.505
2026-07-22T16:02:50.660673+00:00,New Playboi Carti Album before GTA VI?,No,0.495
2026-07-22T16:02:50.660673+00:00,Will Jesus Christ return before GTA VI?,Yes,0.495
2026-07-22T16:02:50.660673+00:00,Will Jesus Christ return before GTA VI?,No,0.505
